"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,000317670996333598;2803;51;22;0,431372549019608;0,00784873349982162;"GO:0006793";"GO:BP";"phosphorus metabolic process";21100;2749;"Up"
"2";"query_1";TRUE;0,00136561549932419;2781;51;21;0,411764705882353;0,0075512405609493;"GO:0006796";"GO:BP";"phosphate-containing compound metabolic process";21100;2752;"Up"
"3";"query_1";TRUE;0,00215236591581525;1882;51;17;0,333333333333333;0,00903294367693943;"GO:0016310";"GO:BP";"phosphorylation";21100;5776;"Up"
"4";"query_1";TRUE;0,00627097979398852;81;8;3;0,375;0,037037037037037;"GO:0072332";"GO:BP";"intrinsic apoptotic signaling pathway by p53 class mediator";21100;20195;"Up"
"5";"query_1";TRUE;0,00863897340925115;1624;51;15;0,294117647058824;0,00923645320197044;"GO:1901700";"GO:BP";"response to oxygen-containing compound";21100;24966;"Up"
"6";"query_1";TRUE;0,0182802091580792;22;39;3;0,0769230769230769;0,136363636363636;"GO:0035584";"GO:BP";"calcium-mediated signaling using intracellular calcium source";21100;10485;"Up"
"7";"query_1";TRUE;0,0219993293717563;2629;40;16;0,4;0,00608596424496006;"GO:0035556";"GO:BP";"intracellular signal transduction";21100;10463;"Up"
"8";"query_1";TRUE;0,0333164509033525;1587;51;14;0,274509803921569;0,00882167611846251;"GO:0006468";"GO:BP";"protein phosphorylation";21100;2446;"Up"
"9";"query_1";TRUE;0,0334195090144987;249;46;6;0,130434782608696;0,0240963855421687;"GO:0051924";"GO:BP";"regulation of calcium ion transport";21100;16186;"Up"
"10";"query_1";TRUE;0,0233367074005114;609;39;7;0,179487179487179;0,0114942528735632;"GO:0098794";"GO:CC";"postsynapse";21698;3622;"Up"
"11";"query_1";TRUE;0,0326376401005439;9;42;2;0,0476190476190476;0,222222222222222;"GO:0005952";"GO:CC";"cAMP-dependent protein kinase complex";21698;573;"Up"
"12";"query_1";TRUE;0,00795368060610377;795;58;11;0,189655172413793;0,0138364779874214;"GO:0016301";"GO:MF";"kinase activity";20183;3487;"Up"
"13";"query_1";TRUE;0,0147829398871531;695;58;10;0,172413793103448;0,0143884892086331;"GO:0016773";"GO:MF";"phosphotransferase activity, alcohol group as acceptor";20183;3742;"Up"
"14";"query_1";TRUE;0,0237253738905372;586;58;9;0,155172413793103;0,015358361774744;"GO:0004672";"GO:MF";"protein kinase activity";20183;1251;"Up"
"15";"query_1";TRUE;0,0422007716050522;954;58;11;0,189655172413793;0,0115303983228512;"GO:0016772";"GO:MF";"transferase activity, transferring phosphorus-containing groups";20183;3741;"Up"
"16";"query_1";TRUE;0,000370895126621559;179;30;7;0,233333333333333;0,0391061452513966;"KEGG:04062";"KEGG";"Chemokine signaling pathway";7559;239;"Up"
"17";"query_1";TRUE;0,00583761309854617;97;35;5;0,142857142857143;0,0515463917525773;"KEGG:05146";"KEGG";"Amoebiasis";7559;420;"Up"
"18";"query_1";TRUE;0,0144677181353322;105;61;6;0,0983606557377049;0,0571428571428571;"KEGG:04726";"KEGG";"Serotonergic synapse";7559;339;"Up"
"19";"query_1";TRUE;0,0159040883464556;68;61;5;0,0819672131147541;0,0735294117647059;"KEGG:04924";"KEGG";"Renin secretion";7559;363;"Up"
"20";"query_1";TRUE;0,0238126378218257;135;19;4;0,210526315789474;0,0296296296296296;"KEGG:04723";"KEGG";"Retrograde endocannabinoid signaling";7559;336;"Up"
"21";"query_1";TRUE;0,0312408502615144;215;35;6;0,171428571428571;0,027906976744186;"KEGG:05163";"KEGG";"Human cytomegalovirus infection";7559;426;"Up"
"22";"query_1";TRUE;0,0338234231617796;148;19;4;0,210526315789474;0,027027027027027;"KEGG:04934";"KEGG";"Cushing syndrome";7559;373;"Up"
"23";"query_1";TRUE;0,000569061302038144;78;51;6;0,117647058823529;0,0769230769230769;"REAC:R-HSA-422356";"REAC";"Regulation of insulin secretion";10770;1905;"Up"
"24";"query_1";TRUE;0,0036080227297159;107;51;6;0,117647058823529;0,0560747663551402;"REAC:R-HSA-163685";"REAC";"Integration of energy metabolism";10770;1144;"Up"
"25";"query_1";TRUE;0,0189161139169935;54;42;4;0,0952380952380952;0,0740740740740741;"REAC:R-HSA-112040";"REAC";"G-protein mediated events";10770;938;"Up"
"26";"query_1";TRUE;0,0365580654288469;6788;44;29;0,659090909090909;0,00427224513847967;"TF:M09973_1";"TF";"Factor: CPBP; motif: GNNRGGGHGGGGNNGGGRN; match class: 1";19958;943;"Up"
"27";"query_1";TRUE;0,0286276099071179;158;42;6;0,142857142857143;0,0379746835443038;"WP:WP3929";"WP";"Chemokine signaling pathway";7364;244;"Up"
"28";"query_1";TRUE;0,0361445549295978;4;12;2;0,166666666666667;0,5;"CORUM:6052";"CORUM";"BAG3-HSC70-HSPB8-CHIP complex";3627;1862;"Down"
"29";"query_1";TRUE;0,00206653849635514;2;24;2;0,0833333333333333;1;"GO:0035606";"GO:BP";"peptidyl-cysteine S-trans-nitrosylation";21100;10497;"Down"
"30";"query_1";TRUE;0,00939950755708451;301;19;5;0,263157894736842;0,0166112956810631;"GO:0031647";"GO:BP";"regulation of protein stability";21100;8411;"Down"
"31";"query_1";TRUE;0,0120084922060479;191;5;3;0,6;0,0157068062827225;"GO:0050821";"GO:BP";"protein stabilization";21100;15346;"Down"
"32";"query_1";TRUE;0,0170910385692956;58;31;3;0,0967741935483871;0,0517241379310345;"GO:0001533";"GO:CC";"cornified envelope";21698;161;"Down"
"33";"query_1";TRUE;0,03445944021264;34;12;2;0,166666666666667;0,0588235294117647;"GO:0101031";"GO:CC";"chaperone complex";21698;3800;"Down"
"34";"query_1";TRUE;0,0470723147571898;12;28;2;0,0714285714285714;0,166666666666667;"GO:0035325";"GO:MF";"Toll-like receptor binding";20183;6283;"Down"
"35";"query_1";TRUE;0,00896593704291276;1527;5;5;1;0,00327439423706614;"HPA:0510702";"HPA";"soft tissue 2; peripheral nerve[≥Medium]";10976;744;"Down"
"36";"query_1";TRUE;0,0282726794099164;3693;8;8;1;0,00216626049282426;"HPA:0130202";"HPA";"colon; endothelial cells[≥Medium]";10976;217;"Down"
"37";"query_1";TRUE;0,0404201189064269;4337;9;9;1;0,00207516716624395;"HPA:0330222";"HPA";"oral mucosa; squamous epithelial cells[≥Medium]";10976;465;"Down"
"38";"query_1";TRUE;0,0483407869331855;4845;10;10;1;0,00206398348813209;"HPA:0420052";"HPA";"salivary gland; glandular cells[≥Medium]";10976;576;"Down"
"39";"query_1";TRUE;0,0141456772470413;114;2;2;1;0,0175438596491228;"KEGG:04152";"KEGG";"AMPK signaling pathway";7559;269;"Down"
"40";"query_1";TRUE;0,0172950175936113;126;2;2;1;0,0158730158730159;"KEGG:04728";"KEGG";"Dopaminergic synapse";7559;341;"Down"
"41";"query_1";TRUE;0,0226120001452472;144;2;2;1;0,0138888888888889;"KEGG:04261";"KEGG";"Adrenergic signaling in cardiomyocytes";7559;280;"Down"
"42";"query_1";TRUE;0,0486567254933331;143;2;2;1;0,013986013986014;"MIRNA:hsa-miR-582-5p";"MIRNA";"hsa-miR-582-5p";13650;1846;"Down"
"43";"query_1";TRUE;0,00214856091201006;5233;13;12;0,923076923076923;0,00229313969042614;"TF:M04797";"TF";"Factor: Egr-1; motif: CCGCCCMCG";19958;1604;"Down"
"44";"query_1";TRUE;0,0180561522576243;8684;14;14;1;0,00161216029479503;"TF:M01199";"TF";"Factor: RNF96; motif: BCCCGCRGCC";19958;7282;"Down"
"45";"query_1";TRUE;0,0360106667043154;4169;7;7;1;0,00167905972655313;"TF:M10112_1";"TF";"Factor: Miz-1; motif: NNRGGWGGGGGAGGGGMRR; match class: 1";19958;5193;"Down"
"46";"query_1";TRUE;0,0369514889572271;4654;16;12;0,75;0,00257842715943275;"TF:M00915_1";"TF";"Factor: AP-2; motif: SNNNCCNCAGGCN; match class: 1";19958;157;"Down"
"47";"query_1";TRUE;0,0332832497325613;22;9;2;0,222222222222222;0,0909090909090909;"WP:WP3599";"WP";"Transcription factor regulation in adipogenesis";7364;372;"Down"
