"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;7,91460050391193e-05;421;19;7;0,368421052631579;0,0166270783847981;"GO:0003012";"GO:BP";"muscle system process";21100;1588;"Up"
"2";"query_1";TRUE;0,0164306660299121;340;19;5;0,263157894736842;0,0147058823529412;"GO:0006936";"GO:BP";"muscle contraction";21100;2874;"Up"
"3";"query_1";TRUE;0,00530764211751471;211;19;4;0,210526315789474;0,018957345971564;"GO:0030017";"GO:CC";"sarcomere";21698;1022;"Up"
"4";"query_1";TRUE;0,00768760462559924;232;19;4;0,210526315789474;0,0172413793103448;"GO:0030016";"GO:CC";"myofibril";21698;1021;"Up"
"5";"query_1";TRUE;0,00906062291504734;242;19;4;0,210526315789474;0,0165289256198347;"GO:0043292";"GO:CC";"contractile fiber";21698;2146;"Up"
"6";"query_1";TRUE;0,022940061523212;137;16;3;0,1875;0,0218978102189781;"GO:0072562";"GO:CC";"blood microparticle";21698;3149;"Up"
"7";"query_1";TRUE;0,0325697066522367;2;2;1;0,5;0,5;"GO:0098575";"GO:CC";"lumenal side of lysosomal membrane";21698;3570;"Up"
"8";"query_1";TRUE;0,0281515046415889;1;2;1;0,5;1;"GO:1990833";"GO:MF";"clathrin-uncoating ATPase activity";20183;12275;"Up"
"9";"query_1";TRUE;0,0422272569624306;1;3;1;0,333333333333333;1;"GO:0004309";"GO:MF";"exopolyphosphatase activity";20183;930;"Up"
"10";"query_1";TRUE;0,0070582515381871;36;17;3;0,176470588235294;0,0833333333333333;"REAC:R-HSA-390522";"REAC";"Striated Muscle Contraction";10770;2197;"Up"
"11";"query_1";TRUE;0,00697698921488055;35;17;3;0,176470588235294;0,0857142857142857;"WP:WP383";"WP";"Striated muscle contraction pathway";7364;683;"Up"
"12";"query_1";TRUE;0,0129636516110779;5420;11;9;0,818181818181818;0,00166051660516605;"GO:0005829";"GO:CC";"cytosol";21698;469;"Down"
"13";"query_1";TRUE;0,0287432886792425;2;3;1;0,333333333333333;0,5;"GO:0036186";"GO:CC";"early phagosome membrane";21698;1926;"Down"
"14";"query_1";TRUE;0,0469191744027638;1;5;1;0,2;1;"GO:0003878";"GO:MF";"ATP citrate synthase activity";20183;566;"Down"
