"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;9,5387372517324e-06;1557;54;19;0,351851851851852;0,0122029543994862;"GO:0009719";"GO:BP";"response to endogenous stimulus";21100;4067;"Up"
"2";"query_1";TRUE;0,000218426957181103;420;54;10;0,185185185185185;0,0238095238095238;"GO:0006979";"GO:BP";"response to oxidative stress";21100;2908;"Up"
"3";"query_1";TRUE;0,000239834570223964;1316;54;16;0,296296296296296;0,0121580547112462;"GO:0071495";"GO:BP";"cellular response to endogenous stimulus";21100;19516;"Up"
"4";"query_1";TRUE;0,000451763619150486;3776;56;27;0,482142857142857;0,00715042372881356;"GO:0009893";"GO:BP";"positive regulation of metabolic process";21100;4213;"Up"
"5";"query_1";TRUE;0,000678974032443711;2074;39;16;0,41025641025641;0,0077145612343298;"GO:0008219";"GO:BP";"cell death";21100;3560;"Up"
"6";"query_1";TRUE;0,00101924218080214;3019;58;24;0,413793103448276;0,00794965220271613;"GO:0070887";"GO:BP";"cellular response to chemical stimulus";21100;19115;"Up"
"7";"query_1";TRUE;0,00102947598180599;274;54;8;0,148148148148148;0,0291970802919708;"GO:0034599";"GO:BP";"cellular response to oxidative stress";21100;9974;"Up"
"8";"query_1";TRUE;0,00208899278311084;3271;56;24;0,428571428571429;0,00733720574747784;"GO:0031325";"GO:BP";"positive regulation of cellular metabolic process";21100;8257;"Up"
"9";"query_1";TRUE;0,00230979817563863;683;54;11;0,203703703703704;0,0161054172767204;"GO:1901699";"GO:BP";"cellular response to nitrogen compound";21100;24965;"Up"
"10";"query_1";TRUE;0,00354473130117261;323;54;8;0,148148148148148;0,0247678018575851;"GO:0062197";"GO:BP";"cellular response to chemical stress";21100;18583;"Up"
"11";"query_1";TRUE;0,00412679287566527;141;14;4;0,285714285714286;0,0283687943262411;"GO:0050671";"GO:BP";"positive regulation of lymphocyte proliferation";21100;15257;"Up"
"12";"query_1";TRUE;0,00436528547301451;143;14;4;0,285714285714286;0,027972027972028;"GO:0032946";"GO:BP";"positive regulation of mononuclear cell proliferation";21100;9137;"Up"
"13";"query_1";TRUE;0,00484366660632685;221;57;7;0,12280701754386;0,0316742081447964;"GO:0071241";"GO:BP";"cellular response to inorganic substance";21100;19276;"Up"
"14";"query_1";TRUE;0,00633291612418082;157;14;4;0,285714285714286;0,0254777070063694;"GO:0070665";"GO:BP";"positive regulation of leukocyte proliferation";21100;18998;"Up"
"15";"query_1";TRUE;0,00694442701263378;1865;39;14;0,358974358974359;0,00750670241286863;"GO:0006915";"GO:BP";"apoptotic process";21100;2855;"Up"
"16";"query_1";TRUE;0,00713959715146781;1242;56;14;0,25;0,0112721417069243;"GO:0042325";"GO:BP";"regulation of phosphorylation";21100;11668;"Up"
"17";"query_1";TRUE;0,00823995597968709;626;54;10;0,185185185185185;0,0159744408945687;"GO:0071417";"GO:BP";"cellular response to organonitrogen compound";21100;19446;"Up"
"18";"query_1";TRUE;0,0090563024755071;2781;56;21;0,375;0,0075512405609493;"GO:0006796";"GO:BP";"phosphate-containing compound metabolic process";21100;2752;"Up"
"19";"query_1";TRUE;0,00966356418388161;1918;39;14;0,358974358974359;0,0072992700729927;"GO:0012501";"GO:BP";"programmed cell death";21100;5116;"Up"
"20";"query_1";TRUE;0,0101183326816058;1882;56;17;0,303571428571429;0,00903294367693943;"GO:0016310";"GO:BP";"phosphorylation";21100;5776;"Up"
"21";"query_1";TRUE;0,0102798634195127;2803;56;21;0,375;0,00749197288619336;"GO:0006793";"GO:BP";"phosphorus metabolic process";21100;2749;"Up"
"22";"query_1";TRUE;0,0109190519687571;3851;56;25;0,446428571428571;0,00649182030641392;"GO:0006950";"GO:BP";"response to stress";21100;2884;"Up"
